id,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00
0.0,0.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,
1.0,28.0,40.0,35.0,28.0,31.0,35.0,30.0,32.0,26.0,20.0,15.0,5.0,5.0,5.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
4.0,6.0,26.0,26.0,20.0,21.0,15.0,20.0,23.0,19.0,15.0,3.0,1.0,0.0,0.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,
9.0,190.0,162.0,165.0,158.0,110.0,164.0,197.0,193.0,153.0,39.0,43.0,,,
10.0,5.0,21.0,41.0,36.0,43.0,48.0,38.0,58.0,,,,,,
11.0,70.0,68.0,60.0,52.0,60.0,54.0,70.0,67.0,58.0,55.0,45.0,33.0,35.0,
12.0,38.0,41.0,40.0,35.0,39.0,43.0,40.0,44.0,38.0,30.0,20.0,16.0,10.0,10.0
13.0,20.0,34.0,33.0,30.0,19.0,25.0,16.0,37.0,25.0,16.0,15.0,10.0,10.0,10.0
14.0,33.0,32.0,32.0,26.0,29.0,33.0,25.0,37.0,29.0,25.0,16.0,11.0,10.0,10.0
15.0,52.0,53.0,59.0,54.0,50.0,50.0,49.0,48.0,52.0,45.0,45.0,37.0,25.0,25.0
16.0,13.0,21.0,29.0,16.0,11.0,16.0,10.0,22.0,11.0,11.0,7.0,6.0,5.0,5.0
17.0,68.0,53.0,66.0,65.0,75.0,90.0,65.0,97.0,88.0,74.0,40.0,24.0,5.0,5.0
19.0,23.0,30.0,28.0,22.0,27.0,29.0,22.0,35.0,28.0,19.0,10.0,10.0,5.0,5.0
21.0,45.0,52.0,43.0,47.0,44.0,48.0,45.0,52.0,44.0,34.0,21.0,13.0,5.0,5.0
22.0,20.0,34.0,32.0,30.0,30.0,32.0,14.0,19.0,26.0,6.0,5.0,5.0,5.0,5.0
23.0,75.0,77.0,67.0,60.0,60.0,55.0,54.0,72.0,66.0,54.0,47.0,40.0,33.0,
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,51.0,58.0,49.0,58.0,90.0,116.0,88.0,76.0,63.0,65.0,60.0,26.0,15.0,15.0
28.0,166.0,151.0,132.0,145.0,126.0,133.0,150.0,150.0,158.0,160.0,142.0,109.0,58.0,30.0
29.0,152.0,127.0,123.0,93.0,110.0,124.0,93.0,120.0,103.0,89.0,58.0,66.0,40.0,20.0
30.0,58.0,55.0,50.0,50.0,51.0,53.0,51.0,57.0,53.0,41.0,33.0,30.0,28.0,10.0
32.0,158.0,74.0,133.0,113.0,110.0,110.0,116.0,140.0,120.0,89.0,65.0,71.0,45.0,40.0
33.0,16.0,28.0,32.0,28.0,25.0,25.0,25.0,37.0,34.0,27.0,,,,
34.0,28.0,38.0,40.0,22.0,27.0,25.0,11.0,25.0,23.0,14.0,8.0,5.0,5.0,5.0
35.0,26.0,50.0,43.0,37.0,40.0,40.0,37.0,49.0,38.0,27.0,23.0,16.0,6.0,5.0
36.0,48.0,45.0,43.0,33.0,37.0,31.0,32.0,38.0,37.0,25.0,20.0,14.0,15.0,15.0
