id,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00
0,30,9,21,20,57,48,14,10,40,4,10,51,28,2
1,24,44,0,18,17,13,51,7,13,46,23,8,32,51
2,55,25,46,51,4,48,19,11,24,56,13,19,38,32
3,56,12,28,2,41,27,52,16,39,45,43,43,33,42
4,15,51,23,6,20,9,7,42,8,36,51,5,3,8
5,42,4,26,18,9,46,21,47,29,15,25,48,12,19
6,17,23,43,31,15,21,18,30,33,38,30,53,44,6
7,10,16,11,33,24,9,56,49,38,56,28,23,16,6
8,34,15,24,6,14,25,29,32,2,21,55,10,37,12
9,58,10,32,34,33,40,47,26,26,14,55,21,56,51
10,25,36,59,7,34,6,56,8,0,10,30,55,36,39
11,32,54,10,48,5,51,12,7,17,56,21,18,22,38
12,12,27,29,5,44,27,34,7,11,48,46,0,4,11
13,56,5,15,56,32,30,43,35,46,31,46,39,41,33
14,33,59,16,6,0,50,10,0,32,11,30,6,1,59
15,0,38,32,4,58,31,46,46,32,58,18,47,0,30
16,20,35,40,2,5,54,36,22,59,26,7,5,5,25
17,47,59,22,7,43,55,44,36,24,2,20,14,37,49
18,35,16,16,9,39,11,8,1,3,49,35,47,2,28
19,46,4,12,14,39,30,35,29,47,3,30,34,16,19
20,39,51,42,46,20,5,12,27,49,18,9,35,51,28
21,54,2,53,16,7,32,25,49,17,53,45,30,48,24
22,44,23,57,4,28,17,55,49,25,5,30,38,54,48
23,43,24,3,49,22,29,43,37,58,14,29,13,8,7
24,14,50,52,37,54,25,10,39,0,12,1,33,43,42
25,57,2,22,6,46,10,0,44,9,40,47,20,14,17
26,40,16,45,29,46,16,12,31,55,8,0,51,1,47
27,11,10,36,7,24,40,56,40,36,38,48,0,20,7
28,41,13,21,12,27,36,35,40,13,49,45,19,12,13
29,38,30,8,51,0,55,8,4,49,18,30,7,9,18
30,54,20,34,46,36,11,56,59,48,4,25,48,49,11
31,47,11,16,17,7,56,4,35,2,30,55,45,13,48
32,6,48,37,40,56,35,55,55,14,48,54,24,30,4
33,46,21,20,23,56,56,26,43,9,14,13,33,40,41
34,36,41,37,44,32,31,15,36,10,0,46,11,13,40
35,21,45,58,29,25,14,9,30,18,57,3,16,39,16
36,40,27,54,30,15,30,3,54,24,6,55,3,45,36
